Model,Config,Accuracy,Macro F1,Class 1 Precision,Class 1 Recall,Class 1 F1,ROC AUC,Signal Ratio,Total Days,Buy Signals
Logistic Regression,3 price features,0.6923076923076923,0.6921052631578948,0.7428571428571429,0.6341463414634146,0.6842105263157895,0.7422544495715226,0.44871794871794873,78,35
Random Forest Classifier,6 price features,0.7051282051282052,0.7046913580246914,0.7647058823529411,0.6341463414634146,0.6933333333333334,0.7119314436387607,0.4358974358974359,78,34
XGBoost Classifier,6 price features,0.7307692307692307,0.7285832642916321,0.8333333333333334,0.6097560975609756,0.704225352112676,0.7247857613711272,0.38461538461538464,78,30
