,precision,recall,f1-score,support,ROC AUC,Model
0,0.6666666666666666,0.8648648648648649,0.7529411764705882,37.0,0.7247857613711272,XGBClassifier
1,0.8333333333333334,0.6097560975609756,0.704225352112676,41.0,0.7247857613711272,XGBClassifier
accuracy,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7307692307692307,0.7247857613711272,XGBClassifier
macro avg,0.75,0.7373104812129203,0.7285832642916321,78.0,0.7247857613711272,XGBClassifier
weighted avg,0.7542735042735043,0.7307692307692307,0.7273341405901471,78.0,0.7247857613711272,XGBClassifier
